"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2026","4,761.29","4,756.69","4,790.44","4,742.74","92.79K","0.88%"
"04/21/2026","4,719.60","4,842.40","4,854.80","4,685.80","177.09K","-2.26%"
"04/20/2026","4,828.80","4,811.80","4,847.90","4,752.00","123.21K","-1.04%"
"04/17/2026","4,879.60","4,811.80","4,917.70","4,785.90","135.44K","1.48%"
"04/16/2026","4,808.30","4,813.60","4,861.30","4,792.10","108.86K","-0.32%"
"04/15/2026","4,823.60","4,862.70","4,895.40","4,807.90","106.71K","-0.55%"
"04/14/2026","4,850.10","4,769.30","4,870.30","4,767.60","129.59K","1.73%"
"04/13/2026","4,767.40","4,710.00","4,774.40","4,626.00","127.32K","-0.42%"
"04/10/2026","4,787.40","4,790.50","4,820.00","4,752.70","121.57K","-0.64%"
"04/09/2026","4,818.00","4,744.80","4,826.00","4,718.60","133.63K","0.85%"
"04/08/2026","4,777.20","4,747.20","4,888.00","4,720.60","215.12K","1.97%"
"04/07/2026","4,684.70","4,678.60","4,745.70","4,631.90","145.71K","0.00%"
"04/06/2026","4,684.70","4,675.00","4,733.10","4,626.20","89.41K","0.11%"
"04/03/2026","4,679.70","4,783.00","4,825.90","4,580.40","","0.00%"
"04/02/2026","4,679.70","4,783.00","4,825.90","4,580.40","190.44K","-2.77%"
"04/01/2026","4,813.10","4,698.40","4,821.00","4,690.00","166.76K","2.87%"
"03/31/2026","4,678.60","4,538.90","4,717.60","4,510.00","176.39K","2.66%"
"03/30/2026","4,557.50","4,520.00","4,611.40","4,444.70","157.75K","1.08%"
"03/27/2026","4,508.60","4,398.10","4,568.30","4,389.40","5.22K","2.65%"
"03/26/2026","4,392.30","4,539.80","4,552.20","4,366.70","4.51K","-3.86%"
"03/25/2026","4,568.60","4,487.90","4,616.30","4,475.00","3.93K","3.41%"
"03/24/2026","4,418.00","4,434.00","4,500.00","4,330.00","2.85K","-0.13%"
"03/23/2026","4,423.60","4,475.00","4,542.60","4,124.40","4.92K","-4.04%"
"03/20/2026","4,609.60","4,689.40","4,773.30","4,512.10","48.02K","-0.67%"
"03/19/2026","4,640.50","4,860.50","4,903.30","4,539.50","66.19K","-5.93%"
"03/18/2026","4,932.90","5,046.60","5,058.40","4,846.60","47.59K","-2.23%"
"03/17/2026","5,045.60","5,049.10","5,085.00","5,014.40","20.54K","0.12%"
"03/16/2026","5,039.40","5,049.30","5,082.00","5,009.50","32.01K","-0.44%"
"03/13/2026","5,061.70","5,084.00","5,132.40","5,014.10","160.33K","-1.25%"
"03/12/2026","5,125.80","5,185.40","5,197.80","5,058.20","153.53K","-1.03%"
"03/11/2026","5,179.10","5,194.00","5,230.90","5,155.90","140.34K","-1.20%"
"03/10/2026","5,242.10","5,152.40","5,248.70","5,127.10","179.58K","2.71%"
"03/09/2026","5,103.70","5,186.70","5,210.40","5,021.20","181.75K","-1.07%"
"03/06/2026","5,158.70","5,099.70","5,185.00","5,071.00","160.27K","1.58%"
"03/05/2026","5,078.70","5,155.70","5,204.30","5,058.90","151.85K","-1.09%"
"03/04/2026","5,134.70","5,110.00","5,218.30","5,092.80","146.89K","0.21%"
"03/03/2026","5,123.70","5,335.70","5,394.20","5,005.00","273.22K","-3.54%"
"03/02/2026","5,311.60","5,360.00","5,434.10","5,272.90","227.84K","1.21%"
"02/27/2026","5,247.90","5,201.90","5,299.00","5,182.90","151.66K","1.03%"
"02/26/2026","5,194.20","5,175.30","5,221.90","5,144.80","131.63K","-0.26%"
"02/25/2026","5,208.00","5,135.60","5,214.00","5,129.50","1.77K","0.97%"
"02/24/2026","5,157.80","5,243.40","5,250.00","5,091.80","1.51K","-0.95%"
"02/23/2026","5,207.50","5,114.00","5,236.70","5,103.20","1.62K","2.49%"
"02/20/2026","5,080.90","5,015.00","5,131.00","4,999.30","136.74K","1.67%"
"02/19/2026","4,997.40","4,993.70","5,042.80","4,971.50","87.03K","-0.24%"
"02/18/2026","5,009.50","4,898.50","5,031.90","4,868.50","98.20K","2.11%"
"02/17/2026","4,905.90","5,050.00","5,074.40","4,854.20","166.71K","-2.08%"
"02/16/2026","5,010.11","5,038.09","5,050.60","4,985.44","42.20K","-0.57%"
"02/15/2026","5,039.06","5,053.00","5,070.00","5,026.44","","-0.14%"
"02/13/2026","5,046.30","4,950.00","5,069.10","4,907.10","123.02K","1.98%"
"02/12/2026","4,948.40","5,107.30","5,122.80","4,900.00","161.62K","-2.94%"
"02/11/2026","5,098.50","5,048.00","5,144.50","5,036.30","129.97K","1.34%"
"02/10/2026","5,031.00","5,084.30","5,102.70","5,011.00","105.66K","-0.95%"
"02/09/2026","5,079.40","5,003.60","5,111.10","4,988.60","124.15K","2.00%"
"02/06/2026","4,979.80","4,800.00","4,995.60","4,670.00","177.81K","1.85%"
"02/05/2026","4,889.50","4,986.60","5,045.00","4,779.60","234.59K","-1.24%"
"02/04/2026","4,950.80","4,966.10","5,113.90","4,867.70","245.96K","0.32%"
"02/03/2026","4,935.00","4,691.00","5,018.10","4,690.20","260.11K","6.07%"
"02/02/2026","4,652.60","4,816.00","4,905.60","4,423.20","385.98K","-1.95%"
